client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f0006_12,16,4,381,train,0.058479533,3.7029805
f0007_14,16,2,376,train,0.06804734,3.7200127
f0008_45,16,0,419,train,0.055702917,3.6201298
f0009_06,16,1,378,train,0.073529415,3.7336767
f0000_14,16,3,383,test,0.025641026,3.815711
f0001_41,16,0,414,test,0.0,3.7104292
f0002_01,16,0,405,test,0.024390243,3.8472133
f0003_42,16,0,398,test,0.075,3.6266701
f0004_09,16,4,316,test,0.125,3.7495663
f0005_26,16,0,352,test,0.055555556,3.6137433
f0006_12,16,4,381,test,0.025641026,3.8254888
f0007_14,16,2,376,test,0.05263158,3.714819
f0008_45,16,0,419,test,0.0952381,3.7612333
f0009_06,16,1,378,test,0.02631579,3.6300805
f0000_14,17,3,383,train,0.075581394,3.6497495
f0001_41,17,0,414,train,0.061827958,3.6607594
f0002_01,17,0,405,train,0.07417583,3.6423948
f0003_42,17,0,398,train,0.05586592,3.6656785
f0004_09,17,4,316,train,0.07394366,3.6659288
f0005_26,17,0,352,train,0.07278481,3.6262455
f0006_12,17,4,381,train,0.046783626,3.694682
f0007_14,17,2,376,train,0.06508876,3.7250824
f0008_45,17,0,419,train,0.055702917,3.6346881
f0009_06,17,1,378,train,0.07941177,3.7167394
f0000_14,17,3,383,test,0.025641026,3.7509022
f0001_41,17,0,414,test,0.0,3.731247
f0002_01,17,0,405,test,0.024390243,3.8382382
f0003_42,17,0,398,test,0.075,3.6474566
f0004_09,17,4,316,test,0.125,3.7109685
f0005_26,17,0,352,test,0.055555556,3.6617572
f0006_12,17,4,381,test,0.051282052,3.7893047
f0007_14,17,2,376,test,0.05263158,3.7117188
f0008_45,17,0,419,test,0.0952381,3.7444916
f0009_06,17,1,378,test,0.02631579,3.6641781
f0000_14,18,3,383,train,0.06686047,3.6394393
f0001_41,18,0,414,train,0.061827958,3.666886
f0002_01,18,0,405,train,0.06868132,3.6419141
f0003_42,18,0,398,train,0.05586592,3.6729696
